issue,priority
Flood in village urgent help needed,High
Bridge collapsed immediate rescue required,High
Fire accident urgent response needed,High
Medical emergency ambulance required,High
Hospital emergency serious patient case,High
Earthquake damage urgent rescue needed,High
Heavy rain flood situation dangerous,High
Landslide blocked road urgent help needed,High
Building collapse rescue needed immediately,High
Cyclone emergency evacuation required,High
Dam leakage causing flood danger,High
Gas leakage emergency in apartment,High
School building collapse urgent rescue needed,High
Road accident with severe injuries,High
Ambulance required for critical patient,High
Factory fire emergency rescue needed,High
Train accident immediate medical support required,High
Flood water entered homes urgent evacuation,High
Severe storm damaged houses urgent help needed,High
Chemical leakage emergency in industrial area,High
Bridge cracking and collapse risk urgent,High
Bus accident with injured passengers,High
River overflow causing flood emergency,High
Electric pole fire emergency response needed,High
Hospital oxygen shortage urgent support needed,High
Landslide near school immediate evacuation needed,High
Dam gate failure flood alert required,High
Forest fire spreading near village,High
Building wall collapse dangerous situation,High
Child trapped in borewell urgent rescue,High
Major drainage overflow flooding streets,High
Transformer blast causing dangerous fire,High
Highway accident emergency rescue needed,High
Collapsed road causing serious traffic danger,High
Flood rescue boat required immediately,High
Fire in market area urgent response,High
Pregnant woman medical emergency ambulance needed,High
Serious snake bite emergency treatment needed,High
Electric shock accident urgent hospital support,High
Severe rainstorm emergency relief needed,High
Road damaged after heavy rain,Medium
Tree fallen on road causing blockage,Medium
Electricity issue in street area,Medium
Water supply issue in colony,Medium
Drainage blockage in main road,Medium
Street water overflow issue,Medium
Traffic signal damaged in junction,Medium
Public transport issue after storm,Medium
Power cut in residential area,Medium
Street road crack needs repair,Medium
Sewer blockage causing water stagnation,Medium
Bus stop damaged after heavy rain,Medium
Broken street drainage needs repair,Medium
School road damaged needs fixing,Medium
Transformer not working in locality,Medium
Public water tank leakage issue,Medium
Tree branches blocking road movement,Medium
Broken footpath causing walking issues,Medium
Streetlight pole tilted needs fixing,Medium
Roadside wall damaged after rain,Medium
Pipeline leakage in public area,Medium
Community hall roof leakage issue,Medium
Government school fence damaged,Medium
Electric wire hanging on road side,Medium
Public park gate broken needs repair,Medium
Drain cover broken on main road,Medium
Road divider damaged in traffic area,Medium
Bus shelter roof damaged,Medium
Water pipeline crack in colony,Medium
Traffic congestion due to road repair,Medium
Public tap not working properly,Medium
Rainwater not draining from streets,Medium
Electric transformer low voltage issue,Medium
Broken speed breaker needs repair,Medium
Village road muddy after rain,Medium
Street signal not functioning properly,Medium
Local bridge small crack issue,Medium
Government office water leakage issue,Medium
Community drainage repair required,Medium
Road potholes causing transport issues,Medium
Street light not working,Low
